Word,Encoding,TokenIDs,TokenPieces,TokenCount,SingleToken,Token1,Piece1,Token2,Piece2,Token3,Piece3,Token4,Piece4,Token5,Piece5,Token6,Piece6,Token7,Piece7,Token8,Piece8,TokenID,GTT,GTT码,GTT字,Chinese,POS,Frequency
a,o200k_base,64,a,1,YES,64,a,,,,,,,,,,,,,,,1,,,,,,
aback,o200k_base,378 552,ab | ack,2,NO,378,ab,552,ack,,,,,,,,,,,,,2,,,,,,
abandon,o200k_base,378 16634,ab | andon,2,NO,378,ab,16634,andon,,,,,,,,,,,,,3,,,,,,
abandoned,o200k_base,378 177121,ab | andoned,2,NO,378,ab,177121,andoned,,,,,,,,,,,,,4,,,,,,
abandonment,o200k_base,378 16634 508,ab | andon | ment,3,NO,378,ab,16634,andon,508,ment,,,,,,,,,,,5,,,,,,
abate,o200k_base,378 379,ab | ate,2,NO,378,ab,379,ate,,,,,,,,,,,,,6,,,,,,
abatement,o200k_base,41831 962,abat | ement,2,NO,41831,abat,962,ement,,,,,,,,,,,,,7,,,,,,
abbreviated,o200k_base,378 179360 780,ab | brevi | ated,3,NO,378,ab,179360,brevi,780,ated,,,,,,,,,,,8,,,,,,
abdicate,o200k_base,129401 8091,abd | icate,2,NO,129401,abd,8091,icate,,,,,,,,,,,,,9,,,,,,
abdomen,o200k_base,129401 2913,abd | omen,2,NO,129401,abd,2913,omen,,,,,,,,,,,,,10,,,,,,
abdominal,o200k_base,378 58960,ab | dominal,2,NO,378,ab,58960,dominal,,,,,,,,,,,,,11,,,,,,
abduct,o200k_base,378 1132,ab | duct,2,NO,378,ab,1132,duct,,,,,,,,,,,,,12,,,,,,
abduction,o200k_base,378 23838,ab | duction,2,NO,378,ab,23838,duction,,,,,,,,,,,,,13,,,,,,
aberration,o200k_base,378 837 387,ab | err | ation,3,NO,378,ab,837,err,387,ation,,,,,,,,,,,14,,,,,,
abet,o200k_base,10209,abet,1,YES,10209,abet,,,,,,,,,,,,,,,15,,,,,,
abhor,o200k_base,378 9803,ab | hor,2,NO,378,ab,9803,hor,,,,,,,,,,,,,16,,,,,,
abide,o200k_base,378 617,ab | ide,2,NO,378,ab,617,ide,,,,,,,,,,,,,17,,,,,,
abiding,o200k_base,378 7069,ab | iding,2,NO,378,ab,7069,iding,,,,,,,,,,,,,18,,,,,,
ability,o200k_base,3563,ability,1,YES,3563,ability,,,,,,,,,,,,,,,19,,,,,,
abject,o200k_base,378 728,ab | ject,2,NO,378,ab,728,ject,,,,,,,,,,,,,20,,,,,,
ablaze,o200k_base,18122 14770,abl | aze,2,NO,18122,abl,14770,aze,,,,,,,,,,,,,21,,,,,,
able-bodied,o200k_base,562 165179,able | -bodied,2,NO,562,able,165179,-bodied,,,,,,,,,,,,,22,,,,,,
able,o200k_base,562,able,1,YES,562,able,,,,,,,,,,,,,,,23,,,,,,
abnormal,o200k_base,378 14559,ab | normal,2,NO,378,ab,14559,normal,,,,,,,,,,,,,24,,,,,,
abnormality,o200k_base,378 14559 536,ab | normal | ity,3,NO,378,ab,14559,normal,536,ity,,,,,,,,,,,25,,,,,,
abnormally,o200k_base,378 169251,ab | normally,2,NO,378,ab,169251,normally,,,,,,,,,,,,,26,,,,,,
aboard,o200k_base,13055 597,abo | ard,2,NO,13055,abo,597,ard,,,,,,,,,,,,,27,,,,,,
abolish,o200k_base,21921 1109,abol | ish,2,NO,21921,abol,1109,ish,,,,,,,,,,,,,28,,,,,,
abolition,o200k_base,21921 868,abol | ition,2,NO,21921,abol,868,ition,,,,,,,,,,,,,29,,,,,,
