TokenID,Word,FirstLetter,Length,MD,Image,HasImage,GTT,Frequency,POS,Chinese
1,a,a,1,Words/a/a.md,Images/a.svg,YES,,,,
2,aback,a,5,Words/a/aback.md,Images/aback.svg,YES,,,,
3,abandon,a,7,Words/a/abandon.md,Images/abandon.svg,YES,,,,
4,abandoned,a,9,Words/a/abandoned.md,Images/abandoned.svg,YES,,,,
5,abandonment,a,11,Words/a/abandonment.md,Images/abandonment.svg,YES,,,,
6,abate,a,5,Words/a/abate.md,Images/abate.svg,YES,,,,
7,abatement,a,9,Words/a/abatement.md,Images/abatement.svg,YES,,,,
8,abbreviated,a,11,Words/a/abbreviated.md,Images/abbreviated.svg,YES,,,,
9,abdicate,a,8,Words/a/abdicate.md,Images/abdicate.svg,YES,,,,
10,abdomen,a,7,Words/a/abdomen.md,Images/abdomen.svg,YES,,,,
11,abdominal,a,9,Words/a/abdominal.md,Images/abdominal.svg,YES,,,,
12,abduct,a,6,Words/a/abduct.md,Images/abduct.svg,YES,,,,
13,abduction,a,9,Words/a/abduction.md,Images/abduction.svg,YES,,,,
14,aberration,a,10,Words/a/aberration.md,Images/aberration.svg,YES,,,,
15,abet,a,4,Words/a/abet.md,Images/abet.svg,YES,,,,
16,abhor,a,5,Words/a/abhor.md,Images/abhor.svg,YES,,,,
17,abide,a,5,Words/a/abide.md,Images/abide.svg,YES,,,,
18,abiding,a,7,Words/a/abiding.md,Images/abiding.svg,YES,,,,
19,ability,a,7,Words/a/ability.md,Images/ability.svg,YES,,,,
20,abject,a,6,Words/a/abject.md,Images/abject.svg,YES,,,,
21,ablaze,a,6,Words/a/ablaze.md,Images/ablaze.svg,YES,,,,
22,able-bodied,a,11,Words/a/able-bodied.md,Images/able-bodied.svg,YES,,,,
23,able,a,4,Words/a/able.md,Images/able.svg,YES,,,,
24,abnormal,a,8,Words/a/abnormal.md,Images/abnormal.svg,YES,,,,
25,abnormality,a,11,Words/a/abnormality.md,Images/abnormality.svg,YES,,,,
26,abnormally,a,10,Words/a/abnormally.md,Images/abnormally.svg,YES,,,,
27,aboard,a,6,Words/a/aboard.md,Images/aboard.svg,YES,,,,
28,abolish,a,7,Words/a/abolish.md,Images/abolish.svg,YES,,,,
29,abolition,a,9,Words/a/abolition.md,Images/abolition.svg,YES,,,,
30,abolitionist,a,12,Words/a/abolitionist.md,Images/abolitionist.svg,YES,,,,
31,abomination,a,11,Words/a/abomination.md,Images/abomination.svg,YES,,,,
32,aboriginal,a,10,Words/a/aboriginal.md,Images/aboriginal.svg,YES,,,,
33,abort,a,5,Words/a/abort.md,Images/abort.svg,YES,,,,
34,abortion,a,8,Words/a/abortion.md,Images/abortion.svg,YES,,,,
35,abound,a,6,Words/a/abound.md,Images/abound.svg,YES,,,,
36,about,a,5,Words/a/about.md,Images/about.svg,YES,,,,
37,above-average,a,13,Words/a/above-average.md,Images/above-average.svg,YES,,,,
38,above,a,5,Words/a/above.md,Images/above.svg,YES,,,,
39,abrasion,a,8,Words/a/abrasion.md,Images/abrasion.svg,YES,,,,
40,abrasive,a,8,Words/a/abrasive.md,Images/abrasive.svg,YES,,,,
41,abreast,a,7,Words/a/abreast.md,Images/abreast.svg,YES,,,,
42,abroad,a,6,Words/a/abroad.md,Images/abroad.svg,YES,,,,
43,abrupt,a,6,Words/a/abrupt.md,Images/abrupt.svg,YES,,,,
44,abruptly,a,8,Words/a/abruptly.md,Images/abruptly.svg,YES,,,,
45,abscess,a,7,Words/a/abscess.md,Images/abscess.svg,YES,,,,
46,absence,a,7,Words/a/absence.md,Images/absence.svg,YES,,,,
47,absent,a,6,Words/a/absent.md,Images/absent.svg,YES,,,,
48,absentee,a,8,Words/a/absentee.md,Images/absentee.svg,YES,,,,
49,absently,a,8,Words/a/absently.md,Images/absently.svg,YES,,,,
50,absolute,a,8,Words/a/absolute.md,Images/absolute.svg,YES,,,,
51,absolutely,a,10,Words/a/absolutely.md,Images/absolutely.svg,YES,,,,
