Root,Meaning,Count,ExampleWords
man,手,143,adamantly airman alderman baseman businessman cameraman chairman chairmanship chairwoman clergyman co-chairman command commandeer commander-in-chief commander commanding commandment commando congressman councilman
log,说/学,107,analog analogous analogy anesthesiologist anthology anthropological anthropologist anthropology apologetic apologetically apologist apologize apology archaeological archaeologist archaeology backlog biological biologically biologist
pos,放,80,all-purpose apostle apostolic compose composer composite composition compositional compost composting composure decompose decomposition depose deposit deposition depositor disposable disposal dispose
act,做,79,act acting action activate activation active actively activism activist activity actor actress actual actuality actually actuator bacteria bacterial cactus cataract
fic,做,76,aficionado amplification artifice artificial artificially beneficial beneficiary box-office certificate certification clarification classification coefficient deficiency deficient deficit difficult difficulty diversification edifice
port,搬运,54,airport all-important deport deportation disproportionate disproportionately export exporter import importance important importantly importation imported importer opportunistic opportunity passport port portable
form,形,50,conform conformity deformation deformed deformity form formal formality formalize formally format formation formative former formerly formidable formula formulate formulation high-performance
vis,看,48,advisable advise adviser advisor advisory devise divisional divisive envisage envision improvisation improvise improvised invisibility invisible lavish lavishly pelvis provision provisional
mit,送,45,admit admittedly admitting anti-semitic anti-semitism blacksmith commit commitment committed committee concomitant dammit dormitory dynamite emit enmity hermit intermittent intermittently limit
mot,动,43,automotive behemoth chemotherapy commotion demote emotional emotionally godmother grandmother great-grandmother locomotive mammoth motel moth mother-in-law mother motherfucker motherhood motif motion
graph,写/画,42,autobiographical autobiography autograph bibliography biographer biographical biography calligraphy choreograph choreographer choreography demographer demographic demographics ethnographer ethnographic ethnography geographer geographic geographical
cap,抓/取,37,cap capability capable capacity cape caper capital capitalism capitalist capitalization capitalize capitol capitulate cappuccino capricious capsule captain caption captivate captivating
spect,看,34,aspect disrespect disrespectful inspect inspector introspective irrespective perspective prospect prospective prospector prospectus respect respectability respectable respected respectful respectfully respecting respective
cess,走,33,abscess access accessibility accessible accessory cessation excess excessive excessively inaccessible incessant incessantly microprocessor necessarily necessary necessitate necessity predecessor princess process
press,压,32,anti-depressant compress compressed compressor cypress depress depressed depressing depressive espresso express expressed expressionless expressive expressly hard-pressed high-pressure impress impressed impressionist
duc,引导,30,abduction conducive deduce deduction duck educate educated education educational educator induce inducement induction introduce introduction mass-produced produce producer production reduce
cid,落/切,30,accident accidental accidentally acid acidic acidity cider coincide coincidence coincidental coincidentally decide decidedly deciding deciduous elucidate genocide herbicide homicide incidence
fect,做,27,affect affected affectionate affectionately affective confectioner cost-effective defect defective defector disaffected disinfectant effect effective effectively effectiveness imperfect ineffective ineffectual infect
vid,看,27,avid divide divided dividend divider evidence-based evidence evident evidently individual individualism individualistic individuality individualized individually livid provide provided provider providing
spec,看,26,especially inspection introspection spec special specialist specialization specialize specialized specially specialty species specific specifically specification specificity specified specify specimen speck
dict,说,24,addict addictive contradict contradictory dictate dictator dictatorial dictatorship dictionary dictum edict indict indictment predict predictability predictable predictably predicted predictive predictor
ject,投,22,abject adjective conjecture eject inject interject object objectionable objective objectively objectivity project projected projectile projecting projector reject rejected subject subjective
aud,听,22,applaud audacious audacity audible audience audio audiotape audit auditing audition auditor auditorium auditory audubon defraud fraud fraudulent gaudy inaudible laud
tract,拉,20,abstract attract attracting attractive attractiveness contract contracting contractor contractual detract detractor distract extract protracted retract subcontractor subtract tract tractor unattractive
path,感,20,antipathy apathy empathetic empathize empathy path pathetic pathogen pathological pathologist pathology pathos pathway psychopath psychopathology sympathetic sympathetically sympathize sympathizer sympathy
struct,建造,20,construct constructive constructivist deconstruct destructive infrastructure instruct instructional instructive instructor obstruct reconstruct reconstructive restructure restructuring self-destructive structural structurally structure structured
duct,引导,19,abduct by-product conduct conductor counterproductive deduct deductible duct induct introductory misconduct product productive productivity reproductive seductive semiconductor superconducting unproductive
fac,做,19,dissatisfaction facade face-lift face-to-face face faceless facet facial facilitate facilitator facility facsimile faction faculty interface preface resurface satisfaction surface
voc,声/叫,17,advocacy advocate avocado evocation evocative havoc invocation irrevocably provocation provocative unequivocal unequivocally vocabulary vocal vocalist vocation vocational
cis,切,17,concise decision-maker decision-making decision decisive decisively excise excision exercise franciscan incision narcissism narcissistic precise precisely precision scissors
cred,信,15,accredit accreditation accredited credence credential credibility credible credit-card credit creditor credo discredit incredible incredibly incredulous
fact,做,15,artifact benefactor fact factor factory factual manufacture manufactured manufacturer manufacturing matter-of-fact matter-of-factly satisfactorily satisfactory unsatisfactory
scrib,写,12,ascribe circumscribe describe inscribe inscribed prescribe prescribed scribble scribe self-described subscribe subscriber
phon,声,12,cacophony cellphone earphone headphone microphone phone phonological phony saxophone siphon symphony telephone
