id,word,url,error
015943,and/or,null,unknown url type: 'null'
015944,continuing,null,unknown url type: 'null'
015945,full-time,null,unknown url type: 'null'
015946,o\'\'clock,https://file.yboshi.com/words/svg/o\'\'clock.svg,HTTP Error 404: Not Found
016091,saut��,null,unknown url type: 'null'
016401,y\'\'all,https://file.yboshi.com/words/svg/y\'\'all.svg,HTTP Error 404: Not Found
016420,his/her,null,unknown url type: 'null'
016421,state-owned,null,unknown url type: 'null'
016422,twenty-eight,null,unknown url type: 'null'
016423,five-year-old,null,unknown url type: 'null'
016918,he/she,null,unknown url type: 'null'
016919,re-entry,null,unknown url type: 'null'
016920,adamantly,null,unknown url type: 'null'
