id,word,image_url
000001,a,https://file.yboshi.com/words/svg/a.svg
000002,aback,https://file.yboshi.com/words/svg/aback.svg
000003,abandon,https://file.yboshi.com/words/svg/abandon.svg
000004,abandoned,https://file.yboshi.com/words/svg/abandoned.svg
000005,abandonment,https://file.yboshi.com/words/svg/abandonment.svg
000006,abate,https://file.yboshi.com/words/svg/abate.svg
000007,abatement,https://file.yboshi.com/words/svg/abatement.svg
000008,abbreviated,https://file.yboshi.com/words/svg/abbreviated.svg
000009,abdicate,https://file.yboshi.com/words/svg/abdicate.svg
000010,abdomen,https://file.yboshi.com/words/svg/abdomen.svg
000011,abdominal,https://file.yboshi.com/words/svg/abdominal.svg
000012,abduct,https://file.yboshi.com/words/svg/abduct.svg
000013,abduction,https://file.yboshi.com/words/svg/abduction.svg
000014,aberration,https://file.yboshi.com/words/svg/aberration.svg
000015,abet,https://file.yboshi.com/words/svg/abet.svg
000016,abhor,https://file.yboshi.com/words/svg/abhor.svg
000017,abide,https://file.yboshi.com/words/svg/abide.svg
000018,abiding,https://file.yboshi.com/words/svg/abiding.svg
000019,ability,https://file.yboshi.com/words/svg/ability.svg
000020,abject,https://file.yboshi.com/words/svg/abject.svg
000021,ablaze,https://file.yboshi.com/words/svg/ablaze.svg
000022,able,https://file.yboshi.com/words/svg/able.svg
000023,abnormal,https://file.yboshi.com/words/svg/abnormal.svg
000024,abnormality,https://file.yboshi.com/words/svg/abnormality.svg
000025,aboard,https://file.yboshi.com/words/svg/aboard.svg
000026,abolish,https://file.yboshi.com/words/svg/abolish.svg
000027,abolition,https://file.yboshi.com/words/svg/abolition.svg
000028,abolitionist,https://file.yboshi.com/words/svg/abolitionist.svg
000029,abomination,https://file.yboshi.com/words/svg/abomination.svg
000030,aboriginal,https://file.yboshi.com/words/svg/aboriginal.svg
000031,abort,https://file.yboshi.com/words/svg/abort.svg
000032,abortion,https://file.yboshi.com/words/svg/abortion.svg
000033,abound,https://file.yboshi.com/words/svg/abound.svg
000034,about,https://file.yboshi.com/words/svg/about.svg
000035,above,https://file.yboshi.com/words/svg/above.svg
000036,abrasion,https://file.yboshi.com/words/svg/abrasion.svg
000037,abrasive,https://file.yboshi.com/words/svg/abrasive.svg
000038,abreast,https://file.yboshi.com/words/svg/abreast.svg
000039,abroad,https://file.yboshi.com/words/svg/abroad.svg
000040,abrupt,https://file.yboshi.com/words/svg/abrupt.svg
000041,abruptly,https://file.yboshi.com/words/svg/abruptly.svg
000042,abscess,https://file.yboshi.com/words/svg/abscess.svg
000043,absence,https://file.yboshi.com/words/svg/absence.svg
000044,absent,https://file.yboshi.com/words/svg/absent.svg
000045,absentee,https://file.yboshi.com/words/svg/absentee.svg
000046,absently,https://file.yboshi.com/words/svg/absently.svg
000047,absolute,https://file.yboshi.com/words/svg/absolute.svg
000048,absolutely,https://file.yboshi.com/words/svg/absolutely.svg
000049,absolve,https://file.yboshi.com/words/svg/absolve.svg
000050,absorb,https://file.yboshi.com/words/svg/absorb.svg
000051,absorbing,https://file.yboshi.com/words/svg/absorbing.svg
000052,absorption,https://file.yboshi.com/words/svg/absorption.svg
000053,abstain,https://file.yboshi.com/words/svg/abstain.svg
000054,abstinence,https://file.yboshi.com/words/svg/abstinence.svg
000055,abstract,https://file.yboshi.com/words/svg/abstract.svg
000056,abstraction,https://file.yboshi.com/words/svg/abstraction.svg
000057,absurd,https://file.yboshi.com/words/svg/absurd.svg
000058,absurdity,https://file.yboshi.com/words/svg/absurdity.svg
000059,absurdly,https://file.yboshi.com/words/svg/absurdly.svg
000060,abundance,https://file.yboshi.com/words/svg/abundance.svg
000061,abundant,https://file.yboshi.com/words/svg/abundant.svg
000062,abundantly,https://file.yboshi.com/words/svg/abundantly.svg
000063,abuse,https://file.yboshi.com/words/svg/abuse.svg
000064,abusive,https://file.yboshi.com/words/svg/abusive.svg
