序号,单词,文件
1,a,C:\GTT\EnglishDB\Words\a\a.md
2,aback,C:\GTT\EnglishDB\Words\a\aback.md
3,abandon,C:\GTT\EnglishDB\Words\a\abandon.md
4,abandoned,C:\GTT\EnglishDB\Words\a\abandoned.md
5,abandonment,C:\GTT\EnglishDB\Words\a\abandonment.md
6,abate,C:\GTT\EnglishDB\Words\a\abate.md
7,abatement,C:\GTT\EnglishDB\Words\a\abatement.md
8,abbreviated,C:\GTT\EnglishDB\Words\a\abbreviated.md
9,abdicate,C:\GTT\EnglishDB\Words\a\abdicate.md
10,abdomen,C:\GTT\EnglishDB\Words\a\abdomen.md
11,abdominal,C:\GTT\EnglishDB\Words\a\abdominal.md
12,abduct,C:\GTT\EnglishDB\Words\a\abduct.md
13,abduction,C:\GTT\EnglishDB\Words\a\abduction.md
14,aberration,C:\GTT\EnglishDB\Words\a\aberration.md
15,abet,C:\GTT\EnglishDB\Words\a\abet.md
16,abhor,C:\GTT\EnglishDB\Words\a\abhor.md
17,abide,C:\GTT\EnglishDB\Words\a\abide.md
18,abiding,C:\GTT\EnglishDB\Words\a\abiding.md
19,ability,C:\GTT\EnglishDB\Words\a\ability.md
20,abject,C:\GTT\EnglishDB\Words\a\abject.md
21,ablaze,C:\GTT\EnglishDB\Words\a\ablaze.md
22,able,C:\GTT\EnglishDB\Words\a\able.md
23,abnormal,C:\GTT\EnglishDB\Words\a\abnormal.md
24,abnormality,C:\GTT\EnglishDB\Words\a\abnormality.md
25,aboard,C:\GTT\EnglishDB\Words\a\aboard.md
26,abolish,C:\GTT\EnglishDB\Words\a\abolish.md
27,abolition,C:\GTT\EnglishDB\Words\a\abolition.md
28,abolitionist,C:\GTT\EnglishDB\Words\a\abolitionist.md
29,abomination,C:\GTT\EnglishDB\Words\a\abomination.md
30,aboriginal,C:\GTT\EnglishDB\Words\a\aboriginal.md
31,abort,C:\GTT\EnglishDB\Words\a\abort.md
32,abortion,C:\GTT\EnglishDB\Words\a\abortion.md
33,abound,C:\GTT\EnglishDB\Words\a\abound.md
34,about,C:\GTT\EnglishDB\Words\a\about.md
35,above,C:\GTT\EnglishDB\Words\a\above.md
36,abrasion,C:\GTT\EnglishDB\Words\a\abrasion.md
37,abrasive,C:\GTT\EnglishDB\Words\a\abrasive.md
38,abreast,C:\GTT\EnglishDB\Words\a\abreast.md
39,abroad,C:\GTT\EnglishDB\Words\a\abroad.md
40,abrupt,C:\GTT\EnglishDB\Words\a\abrupt.md
41,abruptly,C:\GTT\EnglishDB\Words\a\abruptly.md
42,abscess,C:\GTT\EnglishDB\Words\a\abscess.md
43,absence,C:\GTT\EnglishDB\Words\a\absence.md
44,absent,C:\GTT\EnglishDB\Words\a\absent.md
45,absentee,C:\GTT\EnglishDB\Words\a\absentee.md
46,absently,C:\GTT\EnglishDB\Words\a\absently.md
47,absolute,C:\GTT\EnglishDB\Words\a\absolute.md
48,absolutely,C:\GTT\EnglishDB\Words\a\absolutely.md
49,absolve,C:\GTT\EnglishDB\Words\a\absolve.md
50,absorb,C:\GTT\EnglishDB\Words\a\absorb.md
51,absorbing,C:\GTT\EnglishDB\Words\a\absorbing.md
52,absorption,C:\GTT\EnglishDB\Words\a\absorption.md
53,abstain,C:\GTT\EnglishDB\Words\a\abstain.md
54,abstinence,C:\GTT\EnglishDB\Words\a\abstinence.md
55,abstract,C:\GTT\EnglishDB\Words\a\abstract.md
56,abstraction,C:\GTT\EnglishDB\Words\a\abstraction.md
57,absurd,C:\GTT\EnglishDB\Words\a\absurd.md
58,absurdity,C:\GTT\EnglishDB\Words\a\absurdity.md
59,absurdly,C:\GTT\EnglishDB\Words\a\absurdly.md
60,abundance,C:\GTT\EnglishDB\Words\a\abundance.md
61,abundant,C:\GTT\EnglishDB\Words\a\abundant.md
62,abundantly,C:\GTT\EnglishDB\Words\a\abundantly.md
63,abuse,C:\GTT\EnglishDB\Words\a\abuse.md
64,abusive,C:\GTT\EnglishDB\Words\a\abusive.md
65,abut,C:\GTT\EnglishDB\Words\a\abut.md
66,abysmal,C:\GTT\EnglishDB\Words\a\abysmal.md
67,abyss,C:\GTT\EnglishDB\Words\a\abyss.md
68,academia,C:\GTT\EnglishDB\Words\a\academia.md
69,academic,C:\GTT\EnglishDB\Words\a\academic.md
70,academically,C:\GTT\EnglishDB\Words\a\academically.md
71,academy,C:\GTT\EnglishDB\Words\a\academy.md
72,accede,C:\GTT\EnglishDB\Words\a\accede.md
73,accelerate,C:\GTT\EnglishDB\Words\a\accelerate.md
74,accelerated,C:\GTT\EnglishDB\Words\a\accelerated.md
75,acceleration,C:\GTT\EnglishDB\Words\a\acceleration.md
76,accelerator,C:\GTT\EnglishDB\Words\a\accelerator.md
77,accent,C:\GTT\EnglishDB\Words\a\accent.md
78,accentuate,C:\GTT\EnglishDB\Words\a\accentuate.md
79,accept,C:\GTT\EnglishDB\Words\a\accept.md
80,acceptability,C:\GTT\EnglishDB\Words\a\acceptability.md
81,acceptable,C:\GTT\EnglishDB\Words\a\acceptable.md
82,acceptance,C:\GTT\EnglishDB\Words\a\acceptance.md
83,accepted,C:\GTT\EnglishDB\Words\a\accepted.md
84,access,C:\GTT\EnglishDB\Words\a\access.md
85,accessibility,C:\GTT\EnglishDB\Words\a\accessibility.md
