word,image,md_file,status
adamantly,adamantly.png,C:\GTT\EnglishDB\Words\a\adamantly.md,patched
and/or,and_or.png,C:\GTT\EnglishDB\Words\a\and_or.md,patched
continuing,continuing.png,C:\GTT\EnglishDB\Words\c\continuing.md,patched
full-time,full-time.png,C:\GTT\EnglishDB\Words\f\full-time.md,patched
o'clock,oclock.png,C:\GTT\EnglishDB\Words\o\o____clock.md,patched
sauté,saute.png,C:\GTT\EnglishDB\Words\s\saut__.md,patched
y'all,yall.png,C:\GTT\EnglishDB\Words\y\y____all.md,patched
his/her,his_her.png,C:\GTT\EnglishDB\Words\h\his_her.md,patched
state-owned,state-owned.png,C:\GTT\EnglishDB\Words\s\state-owned.md,patched
twenty-eight,twenty-eight.png,C:\GTT\EnglishDB\Words\t\twenty-eight.md,patched
five-year-old,five-year-old.png,C:\GTT\EnglishDB\Words\f\five-year-old.md,patched
he/she,he_she.png,C:\GTT\EnglishDB\Words\h\he_she.md,patched
re-entry,re-entry.png,C:\GTT\EnglishDB\Words\r\re-entry.md,patched
on-site,on-site.png,C:\GTT\EnglishDB\Words\o\on-site.md,patched
