word,md_file,image,status
a,C:\GTT\EnglishDB\Words\a\a.md,Images/a.svg,real_image
aback,C:\GTT\EnglishDB\Words\a\aback.md,Images/aback.svg,real_image
abandon,C:\GTT\EnglishDB\Words\a\abandon.md,Images/abandon.svg,real_image
abandoned,C:\GTT\EnglishDB\Words\a\abandoned.md,Images/abandoned.svg,real_image
abandonment,C:\GTT\EnglishDB\Words\a\abandonment.md,Images/abandonment.svg,real_image
abate,C:\GTT\EnglishDB\Words\a\abate.md,Images/abate.svg,real_image
abatement,C:\GTT\EnglishDB\Words\a\abatement.md,Images/abatement.svg,real_image
abbreviated,C:\GTT\EnglishDB\Words\a\abbreviated.md,Images/abbreviated.svg,real_image
abdicate,C:\GTT\EnglishDB\Words\a\abdicate.md,Images/abdicate.svg,real_image
abdomen,C:\GTT\EnglishDB\Words\a\abdomen.md,Images/abdomen.svg,real_image
abdominal,C:\GTT\EnglishDB\Words\a\abdominal.md,Images/abdominal.svg,real_image
abduct,C:\GTT\EnglishDB\Words\a\abduct.md,Images/abduct.svg,real_image
abduction,C:\GTT\EnglishDB\Words\a\abduction.md,Images/abduction.svg,real_image
aberration,C:\GTT\EnglishDB\Words\a\aberration.md,Images/aberration.svg,real_image
abet,C:\GTT\EnglishDB\Words\a\abet.md,Images/abet.svg,real_image
abhor,C:\GTT\EnglishDB\Words\a\abhor.md,Images/abhor.svg,real_image
abide,C:\GTT\EnglishDB\Words\a\abide.md,Images/abide.svg,real_image
abiding,C:\GTT\EnglishDB\Words\a\abiding.md,Images/abiding.svg,real_image
ability,C:\GTT\EnglishDB\Words\a\ability.md,Images/ability.svg,real_image
abject,C:\GTT\EnglishDB\Words\a\abject.md,Images/abject.svg,real_image
ablaze,C:\GTT\EnglishDB\Words\a\ablaze.md,Images/ablaze.svg,real_image
able-bodied,C:\GTT\EnglishDB\Words\a\able-bodied.md,Images/able-bodied.svg,real_image
able,C:\GTT\EnglishDB\Words\a\able.md,Images/able.svg,real_image
abnormal,C:\GTT\EnglishDB\Words\a\abnormal.md,Images/abnormal.svg,real_image
abnormality,C:\GTT\EnglishDB\Words\a\abnormality.md,Images/abnormality.svg,real_image
abnormally,C:\GTT\EnglishDB\Words\a\abnormally.md,Images/abnormally.svg,real_image
aboard,C:\GTT\EnglishDB\Words\a\aboard.md,Images/aboard.svg,real_image
abolish,C:\GTT\EnglishDB\Words\a\abolish.md,Images/abolish.svg,real_image
abolition,C:\GTT\EnglishDB\Words\a\abolition.md,Images/abolition.svg,real_image
abolitionist,C:\GTT\EnglishDB\Words\a\abolitionist.md,Images/abolitionist.svg,real_image
abomination,C:\GTT\EnglishDB\Words\a\abomination.md,Images/abomination.svg,real_image
aboriginal,C:\GTT\EnglishDB\Words\a\aboriginal.md,Images/aboriginal.svg,real_image
abort,C:\GTT\EnglishDB\Words\a\abort.md,Images/abort.svg,real_image
abortion,C:\GTT\EnglishDB\Words\a\abortion.md,Images/abortion.svg,real_image
abound,C:\GTT\EnglishDB\Words\a\abound.md,Images/abound.svg,real_image
about,C:\GTT\EnglishDB\Words\a\about.md,Images/about.svg,real_image
above-average,C:\GTT\EnglishDB\Words\a\above-average.md,Images/above-average.svg,real_image
above,C:\GTT\EnglishDB\Words\a\above.md,Images/above.svg,real_image
abrasion,C:\GTT\EnglishDB\Words\a\abrasion.md,Images/abrasion.svg,real_image
abrasive,C:\GTT\EnglishDB\Words\a\abrasive.md,Images/abrasive.svg,real_image
abreast,C:\GTT\EnglishDB\Words\a\abreast.md,Images/abreast.svg,real_image
abroad,C:\GTT\EnglishDB\Words\a\abroad.md,Images/abroad.svg,real_image
abrupt,C:\GTT\EnglishDB\Words\a\abrupt.md,Images/abrupt.svg,real_image
abruptly,C:\GTT\EnglishDB\Words\a\abruptly.md,Images/abruptly.svg,real_image
abscess,C:\GTT\EnglishDB\Words\a\abscess.md,Images/abscess.svg,real_image
absence,C:\GTT\EnglishDB\Words\a\absence.md,Images/absence.svg,real_image
absent,C:\GTT\EnglishDB\Words\a\absent.md,Images/absent.svg,real_image
absentee,C:\GTT\EnglishDB\Words\a\absentee.md,Images/absentee.svg,real_image
absently,C:\GTT\EnglishDB\Words\a\absently.md,Images/absently.svg,real_image
absolute,C:\GTT\EnglishDB\Words\a\absolute.md,Images/absolute.svg,real_image
absolutely,C:\GTT\EnglishDB\Words\a\absolutely.md,Images/absolutely.svg,real_image
absolve,C:\GTT\EnglishDB\Words\a\absolve.md,Images/absolve.svg,real_image
absorb,C:\GTT\EnglishDB\Words\a\absorb.md,Images/absorb.svg,real_image
absorbing,C:\GTT\EnglishDB\Words\a\absorbing.md,Images/absorbing.svg,real_image
absorption,C:\GTT\EnglishDB\Words\a\absorption.md,Images/absorption.svg,real_image
abstain,C:\GTT\EnglishDB\Words\a\abstain.md,Images/abstain.svg,real_image
abstinence,C:\GTT\EnglishDB\Words\a\abstinence.md,Images/abstinence.svg,real_image
abstract,C:\GTT\EnglishDB\Words\a\abstract.md,Images/abstract.svg,real_image
abstraction,C:\GTT\EnglishDB\Words\a\abstraction.md,Images/abstraction.svg,real_image
absurd,C:\GTT\EnglishDB\Words\a\absurd.md,Images/absurd.svg,real_image
absurdity,C:\GTT\EnglishDB\Words\a\absurdity.md,Images/absurdity.svg,real_image
absurdly,C:\GTT\EnglishDB\Words\a\absurdly.md,Images/absurdly.svg,real_image
abundance,C:\GTT\EnglishDB\Words\a\abundance.md,Images/abundance.svg,real_image
