gtt_id,word,pos,group
000001,a,n.,a
000002,aback,adv.,a
000003,abandon,vt.,a
000004,abandoned,adj.,a
000005,abandonment,n.,a
000006,abate,vt.,a
000007,abatement,n.,a
000008,abbreviated,adj.,a
000009,abdicate,v.,a
000010,abdomen,n.,a
000011,abdominal,adj.,a
000012,abduct,vt.,a
000013,abduction,n.,a
000014,aberration,n.,a
000015,abet,vt.,a
000016,abhor,vt.,a
000017,abide,vi.,a
000018,abiding,v.,a
000019,ability,n.,a
000020,abject,adj.,a
000021,ablaze,adj.,a
000022,able,adj.,a
000023,abnormal,adj.,a
000024,abnormality,n.,a
000025,aboard,adv.,a
000026,abolish,vt.,a
000027,abolition,n.,a
000028,abolitionist,n.,a
000029,abomination,n.,a
000030,aboriginal,adj.,a
000031,abort,vi.,a
000032,abortion,n.,a
000033,abound,vi.,a
000034,about,adv.,a
000035,above,adj.,a
000036,abrasion,n.,a
000037,abrasive,n.,a
000038,abreast,adv.,a
000039,abroad,adv.,a
000040,abrupt,adj.,a
000041,abruptly,adv.,a
000042,abscess,n.,a
000043,absence,n.,a
000044,absent,adj.,a
000045,absentee,n.,a
000046,absently,adv.,a
000047,absolute,adj.,a
000048,absolutely,adv.,a
000049,absolve,v.,a
000050,absorb,vt.,a
000051,absorbing,adj.,a
000052,absorption,n.,a
000053,abstain,v.,a
000054,abstinence,n.,a
000055,abstract,n.,a
000056,abstraction,n.,a
000057,absurd,adj.,a
000058,absurdity,n.,a
000059,absurdly,adv.,a
000060,abundance,n.,a
000061,abundant,adj.,a
000062,abundantly,adv.,a
000063,abuse,n.,a
000064,abusive,adj.,a
000065,abut,v.,a
000066,abysmal,adj.,a
000067,abyss,n.,a
000068,academia,n.,a
000069,academic,adj.,a
000070,academically,adv.,a
000071,academy,n.,a
000072,accede,v.,a
000073,accelerate,v.,a
000074,accelerated,adj.,a
000075,acceleration,n.,a
000076,accelerator,n.,a
000077,accent,n.,a
000078,accentuate,v.,a
000079,accept,vt.,a
000080,acceptability,n.,a
000081,acceptable,adj.,a
000082,acceptance,n.,a
000083,accepted,adj.,a
000084,access,n.,a
000085,accessibility,n.,a
000086,accessible,adj.,a
000087,accession,n.,a
000088,accessory,n.,a
000089,accident,n.,a
000090,accidental,adj.,a
000091,accidentally,adv.,a
000092,acclaim,n.,a
000093,accolade,n.,a
000094,accommodate,vt.,a
000095,accommodation,n.,a
000096,accompaniment,n.,a
000097,accompany,vt.,a
000098,accompanying,adj.,a
000099,accomplice,n.,a
000100,accomplish,vt.,a
000101,accomplished,adj.,a
000102,accomplishment,,a
000103,accord,n.,a
000104,accordance,n.,a
000105,according,adv.,a
000106,accordingly,adv.,a
000107,accordion,n.,a
000108,accost,vt.,a
000109,account,n.,a
000110,accountability,n.,a
000111,accountable,adj.,a
000112,accountant,n.,a
000113,accounting,n.,a
000114,accredit,vt.,a
000115,accreditation,n.,a
000116,accredited,adj.,a
000117,accretion,n.,a
000118,accrue,vi.,a
000119,acculturation,n.,a
000120,accumulate,v.,a
000121,accumulation,n.,a
000122,accuracy,n.,a
000123,accurate,adj.,a
000124,accurately,adv.,a
000125,accusation,n.,a
000126,accuse,vt.,a
000127,accused,n.,a
000128,accuser,n.,a
000129,accustom,vt.,a
000130,accustomed,adj.,a
000131,ace,n.,a
000132,ache,n.,a
000133,achievable,adj.,a
000134,achieve,vt.,a
000135,achievement,n.,a
000136,aching,adj.,a
000137,acid,n.,a
000138,acidic,adj.,a
000139,acidity,n.,a
000140,acknowledge,vt.,a
000141,acknowledged,adj.,a
000142,acknowledgement,n.,a
000143,acknowledgment,n.,a
000144,acne,n.,a
000145,acorn,n.,a
000146,acoustic,adj.,a
000147,acquaint,vt.,a
000148,acquaintance,n.,a
000149,acquiesce,vi.,a
000150,acquiescence,n.,a
000151,acquire,vt.,a
000152,acquired,adj.,a
000153,acquisition,n.,a
000154,acquit,vt.,a
000155,acquittal,n.,a
000156,acreage,n.,a
000157,acrid,adj.,a
000158,acrobat,n.,a
000159,acronym,n.,a
000160,across,adv.,a
000161,acrylic,adj.,a
000162,act,n.,a
000163,acting,adj.,a
000164,action,n.,a
000165,activation,n.,a
000166,active,adj.,a
000167,actively,adv.,a
000168,activism,n.,a
000169,activist,n.,a
000170,activity,n.,a
000171,actor,n.,a
000172,actress,n.,a
000173,actual,adj.,a
000174,actuality,n.,a
000175,actually,adv.,a
000176,actuator,n.,a
000177,acuity,n.,a
000178,acumen,n.,a
000179,acupuncture,n.,a
000180,acute,adj.,a
000181,acutely,adv.,a
000182,ad,n.,a
000183,adage,n.,a
000184,adamant,adj.,a
000185,adapt,vt.,a
000186,adaptability,n.,a
000187,adaptable,adj.,a
000188,adaptation,n.,a
000189,adapter,n.,a
000190,adaptive,adj.,a
000191,add,vt.,a
000192,added,adj.,a
000193,addict,vt.,a
000194,addiction,n.,a
000195,addictive,adj.,a
000196,addition,n.,a
000197,additional,adj.,a
000198,additionally,adv.,a
000199,additive,adj.,a
000200,address,n.,a
000201,adept,adj.,a
000202,adequacy,n.,a
000203,adequately,adv.,a
000204,adhere,vi.,a
000205,adherence,n.,a
000206,adherent,n.,a
000207,adhesive,adj.,a
000208,adjacent,adj.,a
000209,adjective,n.,a
000210,adjoin,v.,a
000211,adjoining,adj.,a
000212,adjourn,vi.,a
000213,adjudicate,v.,a
000214,adjunct,n.,a
000215,adjust,vt.,a
000216,adjustable,adj.,a
000217,adjusted,adj.,a
000218,adjuster,n.,a
000219,adjustment,n.,a
000220,administer,v.,a
000221,administration,,a
000222,administrative,,a
000223,administrator,n.,a
000224,admirable,adj.,a
000225,admirably,adv.,a
000226,admiral,n.,a
000227,admiration,n.,a
000228,admire,v.,a
000229,admirer,n.,a
000230,admiring,adj.,a
000231,admission,n.,a
000232,admit,v.,a
000233,admittedly,adv.,a
000234,admonish,vt.,a
000235,admonition,n.,a
000236,adobe,n.,a
000237,adolescence,n.,a
000238,adolescent,adj.,a
000239,adopt,vt.,a
000240,adopted,adj.,a
000241,adoption,n.,a
000242,adoptive,adj.,a
000243,adorable,adj.,a
000244,adoration,n.,a
000245,adore,v.,a
000246,adoring,adj.,a
000247,adorn,v.,a
000248,adornment,n.,a
000249,adrift,adv.,a
000250,adulation,n.,a
000251,adult,n.,a
000252,adultery,n.,a
000253,adulthood,n.,a
000254,advance,n.,a
000255,advanced,adj.,a
000256,advancement,n.,a
000257,advantage,n.,a
000258,advantageous,adj.,a
000259,advent,n.,a
000260,adventure,n.,a
000261,adventurer,n.,a
000262,adventurous,adj.,a
000263,adversarial,adj.,a
000264,adversary,n.,a
000265,adverse,adj.,a
000266,adversely,adv.,a
000267,adversity,n.,a
000268,advertise,v.,a
000269,advertisement,n.,a
000270,advertiser,n.,a
000271,advertising,n.,a
000272,advice,n.,a
000273,advisable,adj.,a
000274,advise,vt.,a
000275,adviser,n.,a
000276,advisor,n.,a
000277,advisory,adj.,a
000278,advocacy,n.,a
000279,advocate,n.,a
000280,aegis,n.,a
000281,aerial,adj.,a
000282,aerobic,adj.,a
000283,aerobics,n.,a
000284,aerodynamic,adj.,a
000285,aerosol,n.,a
000286,aerospace,n.,a
000287,aesthetic,adj.,a
000288,aesthetically,adv.,a
000289,aesthetics,n.,a
000290,afar,adv.,a
000291,affable,adj.,a
000292,affair,n.,a
000293,affect,vt.,a
000294,affected,adj.,a
000295,affection,n.,a
000296,affectionate,adj.,a
000297,affectionately,adv.,a
000298,affective,adj.,a
000299,affidavit,n.,a
000300,affiliate,v.,a
000301,affiliated,adj.,a
000302,affiliation,n.,a
000303,affinity,n.,a
000304,affirm,v.,a
000305,affirmation,n.,a
000306,affirmative,adj.,a
000307,affix,vt.,a
000308,afflict,vt.,a
000309,affliction,n.,a
000310,affluence,n.,a
000311,affluent,adj.,a
000312,afford,vt.,a
000313,affront,n.,a
000314,aficionado,n.,a
000315,afield,adv.,a
000316,afloat,adj.,a
000317,afoot,adj.,a
000318,aforementioned,adj.,a
000319,afraid,adj.,a
000320,aft,adv.,a
000321,after,adv.,a
000322,afterlife,n.,a
000323,aftermath,n.,a
000324,afternoon,n.,a
000325,aftershock,n.,a
000326,afterthought,n.,a
000327,afterward,adv.,a
000328,afterwards,adv.,a
000329,again,adv.,a
000330,against,prep.,a
000331,age,n.,a
000332,aged,adj.,a
000333,agency,n.,a
000334,agenda,n.,a
000335,agent,n.,a
000336,aggravate,vt.,a
000337,aggregate,n.,a
000338,aggregation,n.,a
000339,aggression,n.,a
000340,aggressive,adj.,a
000341,aggressively,adv.,a
000342,aggressor,n.,a
000343,aghast,adj.,a
000344,agile,adj.,a
000345,agility,n.,a
000346,aging,n.,a
000347,agitate,v.,a
000348,agitated,adj.,a
000349,agitation,n.,a
000350,ago,adv.,a
000351,agonize,vt.,a
000352,agonizing,adj.,a
000353,agony,n.,a
000354,agrarian,adj.,a
000355,agree,vi.,a
000356,agreeable,adj.,a
000357,agreed,adj.,a
000358,agreement,n.,a
000359,agribusiness,n.,a
000360,agricultural,adj.,a
000361,agriculture,n.,a
000362,ah,int.,a
000363,aha,int.,a
000364,ahead,adj.,a
000365,aid,n.,a
000366,aide,n.,a
000367,ail,vt.,a
000368,ailing,adj.,a
000369,ailment,n.,a
000370,aim,n.,a
000371,aimlessly,adv.,a
000372,air,n.,a
000373,airborne,adj.,a
000374,aircraft,n.,a
000375,airfare,n.,a
000376,airfield,n.,a
000377,airflow,n.,a
000378,airing,n.,a
000379,airline,n.,a
000380,airliner,n.,a
000381,airman,n.,a
000382,airplane,n.,a
000383,airport,n.,a
000384,airspace,n.,a
000385,airstrip,n.,a
000386,airtight,adj.,a
000387,airwaves,,a
000388,airway,n.,a
000389,airy,adj.,a
000390,aisle,n.,a
000391,ajar,adj.,a
000392,akin,adj.,a
000393,alarm,n.,a
000394,alarming,adj.,a
000395,alas,int.,a
000396,albeit,conj.,a
000397,album,n.,a
000398,alchemy,n.,a
000399,alcohol,n.,a
000400,alcoholic,adj.,a
000401,alcoholism,n.,a
000402,alcove,n.,a
000403,alderman,n.,a
000404,ale,n.,a
000405,alert,adj.,a
000406,alertness,n.,a
000407,alfalfa,n.,a
000408,algae,n.,a
000409,algebra,n.,a
000410,algorithm,n.,a
000411,alibi,n.,a
000412,alien,n.,a
000413,alienate,v.,a
000414,alienated,adj.,a
000415,alienation,n.,a
000416,alight,vi.,a
000417,align,vi.,a
000418,alignment,n.,a
000419,alike,adj.,a
000420,alive,adj.,a
000421,all,adj.,a
000422,allay,vt.,a
000423,allegation,n.,a
000424,allege,vt.,a
000425,alleged,adj.,a
000426,allegedly,adv.,a
000427,allegiance,n.,a
000428,allegorical,adj.,a
000429,allegory,n.,a
000430,allergen,n.,a
000431,allergic,adj.,a
000432,allergy,n.,a
000433,alleviate,vt.,a
000434,alley,n.,a
000435,alleyway,n.,a
000436,alliance,n.,a
000437,allied,adj.,a
000438,alligator,n.,a
000439,allocate,vt.,a
000440,allocation,n.,a
000441,allot,vt.,a
000442,allotment,n.,a
000443,allow,vt.,a
000444,allowable,adj.,a
000445,allowance,n.,a
000446,alloy,n.,a
000447,allude,vi.,a
000448,allure,v.,a
000449,alluring,adj.,a
000450,allusion,n.,a
000451,ally,v.,a
000452,almighty,adj.,a
000453,almond,n.,a
000454,almost,adv.,a
000455,aloft,adv.,a
000456,alone,adj.,a
000457,along,adv.,a
000458,alongside,adv.,a
000459,aloof,adv.,a
000460,aloud,adv.,a
000461,alpha,n.,a
000462,alphabet,n.,a
000463,alpine,adj.,a
000464,already,adv.,a
000465,alright,adv.,a
000466,also,adv.,a
000467,altar,n.,a
000468,alter,v.,a
000469,alteration,n.,a
000470,altercation,n.,a
000471,alternate,adj.,a
000472,alternately,adv.,a
000473,alternating,adj.,a
000474,alternative,n.,a
000475,alternatively,adv.,a
000476,although,conj.,a
000477,altitude,n.,a
000478,altogether,adv.,a
000479,altruism,n.,a
000480,alum,n.,a
000481,aluminum,n.,a
000482,alumnus,n.,a
000483,always,adv.,a
000484,amalgam,n.,a
000485,amass,vt.,a
000486,amateur,n.,a
000487,amaze,vt.,a
000488,amazed,adj.,a
000489,amazement,n.,a
000490,amazing,adj.,a
000491,amazingly,adv.,a
000492,ambassador,n.,a
000493,amber,n.,a
000494,ambience,n.,a
000495,ambient,adj.,a
000496,ambiguity,n.,a
000497,ambiguous,adj.,a
000498,ambition,n.,a
000499,ambitious,adj.,a
