package,version,import_name_guess,import_ok,module_path,size_mb,file_count,summary
anaconda-anon-usage,0.7.6,anaconda_anon_usage,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\anaconda_anon_usage\__init__.py,0.072,14,basic anonymous telemetry for conda
anaconda-auth,0.14.2,anaconda_auth,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\anaconda_auth\__init__.py,0.344,55,A client auth library for Anaconda APIs
anaconda-cli-base,0.8.2,anaconda_cli_base,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\anaconda_cli_base\__init__.py,0.112,17,A base CLI entrypoint supporting Anaconda CLI plugins
annotated-types,0.6.0,annotated_types,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\annotated_types\__init__.py,0.046,5,Reusable constraint types to use with typing.Annotated
anyio,4.12.1,anyio,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\anyio\__init__.py,1.04,85,High-level concurrency and networking framework on top of asyncio or Trio
archspec,0.2.5,archspec,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\archspec\__init__.py,0.27,76,A library to query system architecture
argon2-cffi,25.1.0,argon2_cffi,NO,,0,0,Argon2 for Python
argon2-cffi-bindings,25.1.0,argon2_cffi_bindings,NO,,0,0,Low-level CFFI bindings for Argon2
asttokens,3.0.1,asttokens,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\asttokens\__init__.py,0.12,15,Annotate AST trees with source code positions
async-lru,2.0.5,async_lru,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\async_lru\__init__.py,0.025,3,Simple LRU cache for asyncio
attrs,26.1.0,attrs,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\attrs\__init__.py,0.012,14,Classes Without Boilerplate
babel,2.17.0,babel,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\babel\__init__.py,29.859,1124,Internationalization utilities
beautifulsoup4,4.15.0,beautifulsoup4,NO,,0,0,Screen-scraping library
bleach,6.4.0,bleach,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\bleach\__init__.py,1.284,98,An easy safelist-based HTML-sanitizing tool.
boltons,25.0.0,boltons,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\boltons\__init__.py,1.229,60,"When they're not builtins, they're boltons."
brotlicffi,1.2.0.0,brotlicffi,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\brotlicffi\__init__.py,0.889,7,Python CFFI bindings to the Brotli library
certifi,2026.6.17,certifi,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\certifi\__init__.py,0.23,8,Python package for providing Mozilla's CA Bundle.
cffi,1.17.1,cffi,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\cffi\__init__.py,0.759,40,Foreign Function Interface for Python calling C code.
charset-normalizer,3.4.4,charset_normalizer,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\charset_normalizer\__init__.py,0.276,25,"The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet."
click,8.2.1,click,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\click\__init__.py,0.76,33,Composable command line interface toolkit
colorama,0.4.6,colorama,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\colorama\__init__.py,0.142,26,Cross-platform colored terminal text.
comm,0.2.3,comm,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\comm\__init__.py,0.026,5,"Jupyter Python Comm implementation, for usage in ipykernel, xeus-python etc."
conda,26.3.2,conda,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda\__init__.py,4.565,430,"OS-agnostic, system-level binary package manager."
conda-anaconda-telemetry,0.3.0,conda_anaconda_telemetry,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda_anaconda_telemetry\__init__.py,0.023,7,A conda plugin for Anaconda Telemetry
conda-anaconda-tos,0.2.2,conda_anaconda_tos,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda_anaconda_tos\__init__.py,0.135,27,"Conda subcommand to view, accept, and interact with a channel's Terms of Service (ToS)."
conda-content-trust,0.3.1,conda_content_trust,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda_content_trust\__init__.py,0.214,24,"Signing and verification tools, geared toward the conda ecosystem."
conda-libmamba-solver,26.4.0,conda_libmamba_solver,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda_libmamba_solver\__init__.py,0.401,28,"The fast mamba solver, now in conda"
conda-package-handling,2.4.0,conda_package_handling,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda_package_handling\__init__.py,0.116,22,Create and extract conda packages of various formats.
conda_package_streaming,0.12.0,conda_package_streaming,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\conda_package_streaming\__init__.py,0.084,18,An efficient library to read from new and old format .conda and .tar.bz2 conda packages.
cryptography,45.0.7,cryptography,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\cryptography\__init__.py,4.616,168,cryptography is a package which provides cryptographic recipes and primitives to Python developers.
debugpy,1.8.16,debugpy,YES,C:\Users\liuhj\miniconda3\Lib\site-packages\debugpy\__init__.py,22.749,526,An implementation of the Debug Adapter Protocol for Python
